,week_56,week_57,week_58,week_59,week_60,week_61,week_62,week_63,week_64,week_65,week_66,week_67,week_68,week_69,week_70,week_71,week_72,week_73,week_74,week_75,week_76,week_77,week_78,week_79,week_80,week_81,week_82,week_83,week_84,week_85,week_86,week_87,week_88,week_89,week_90,week_91,week_92,week_93,week_94,week_95
"(1, 1)",331.0,416.0,332.0,350.0,356.0,382.0,438.0,454.0,410.0,206.0,93.0,90.0,103.0,74.0,52.0,113.0,119.0,97.0,128.0,154.0,168.0,122.0,127.0,106.0,165.0,139.0,136.0,243.0,290.0,221.0,143.0,153.0,144.0,164.0,154.0,136.0,145.0,173.0,169.0,187.0
"(1, 2)",142.0,131.0,166.0,129.0,164.0,165.0,159.0,135.0,133.0,70.0,28.0,33.0,21.0,28.0,26.0,39.0,35.0,39.0,39.0,36.0,43.0,46.0,44.0,36.0,47.0,47.0,44.0,49.0,45.0,51.0,36.0,57.0,39.0,34.0,62.0,66.0,51.0,62.0,48.0,60.0
"(1, 3)",75.0,95.0,83.0,89.0,78.0,85.0,94.0,90.0,79.0,36.0,16.0,8.0,12.0,12.0,16.0,19.0,14.0,20.0,15.0,29.0,37.0,14.0,15.0,21.0,25.0,29.0,22.0,22.0,20.0,19.0,28.0,22.0,34.0,23.0,21.0,35.0,39.0,29.0,28.0,38.0
"(1, 4)",28.0,33.0,32.0,38.0,27.0,36.0,27.0,33.0,31.0,15.0,5.0,3.0,6.0,6.0,4.0,4.0,4.0,5.0,4.0,2.0,8.0,8.0,8.0,8.0,4.0,10.0,6.0,5.0,18.0,8.0,14.0,3.0,6.0,6.0,8.0,18.0,21.0,13.0,14.0,13.0
"(1, 6)",39.0,41.0,58.0,50.0,52.0,61.0,50.0,45.0,46.0,12.0,7.0,11.0,10.0,7.0,14.0,14.0,14.0,12.0,5.0,12.0,20.0,18.0,17.0,20.0,20.0,20.0,19.0,14.0,23.0,24.0,25.0,20.0,31.0,30.0,23.0,20.0,23.0,28.0,21.0,29.0
"(1, 8)",60.0,56.0,56.0,44.0,51.0,71.0,60.0,51.0,53.0,15.0,5.0,8.0,7.0,6.0,9.0,6.0,5.0,6.0,17.0,12.0,17.0,15.0,20.0,18.0,18.0,21.0,15.0,27.0,21.0,23.0,21.0,22.0,21.0,29.0,31.0,22.0,33.0,39.0,40.0,38.0
"(1, 32)",21.0,25.0,26.0,28.0,24.0,29.0,29.0,36.0,27.0,10.0,4.0,8.0,5.0,8.0,3.0,5.0,5.0,9.0,6.0,7.0,8.0,10.0,8.0,6.0,4.0,4.0,12.0,6.0,8.0,13.0,6.0,10.0,12.0,6.0,15.0,8.0,17.0,15.0,18.0,12.0
"(1, 77)",144.0,143.0,146.0,169.0,145.0,148.0,184.0,146.0,155.0,75.0,42.0,27.0,19.0,16.0,20.0,28.0,26.0,25.0,28.0,33.0,47.0,37.0,35.0,30.0,37.0,46.0,37.0,31.0,45.0,26.0,41.0,29.0,41.0,50.0,44.0,54.0,48.0,59.0,57.0,38.0
"(2, 1)",84.0,76.0,80.0,98.0,98.0,117.0,93.0,97.0,82.0,49.0,23.0,28.0,28.0,27.0,22.0,32.0,40.0,28.0,34.0,37.0,35.0,35.0,37.0,47.0,40.0,46.0,43.0,40.0,39.0,34.0,31.0,33.0,41.0,55.0,48.0,45.0,36.0,59.0,42.0,49.0
"(2, 2)",515.0,512.0,485.0,501.0,511.0,509.0,488.0,535.0,446.0,218.0,113.0,113.0,94.0,111.0,93.0,126.0,105.0,116.0,111.0,102.0,124.0,163.0,130.0,137.0,158.0,129.0,140.0,134.0,130.0,128.0,164.0,142.0,160.0,150.0,178.0,189.0,243.0,222.0,165.0,158.0
"(2, 3)",41.0,43.0,45.0,37.0,40.0,49.0,44.0,37.0,37.0,23.0,18.0,14.0,12.0,6.0,6.0,8.0,10.0,14.0,6.0,9.0,12.0,21.0,13.0,13.0,17.0,14.0,14.0,13.0,9.0,13.0,19.0,15.0,22.0,19.0,17.0,25.0,22.0,27.0,26.0,25.0
"(2, 4)",62.0,59.0,64.0,56.0,43.0,50.0,56.0,53.0,69.0,18.0,12.0,12.0,9.0,18.0,9.0,13.0,10.0,14.0,9.0,18.0,13.0,15.0,15.0,18.0,20.0,22.0,31.0,14.0,18.0,24.0,27.0,20.0,19.0,22.0,20.0,27.0,27.0,31.0,17.0,28.0
"(2, 6)",26.0,18.0,25.0,31.0,37.0,30.0,32.0,37.0,27.0,12.0,3.0,4.0,4.0,6.0,7.0,7.0,10.0,7.0,6.0,6.0,21.0,11.0,11.0,19.0,24.0,22.0,13.0,18.0,21.0,21.0,21.0,12.0,18.0,16.0,20.0,28.0,32.0,26.0,29.0,34.0
"(2, 8)",46.0,45.0,35.0,34.0,38.0,38.0,43.0,46.0,30.0,21.0,11.0,10.0,17.0,9.0,7.0,10.0,12.0,17.0,8.0,8.0,8.0,20.0,10.0,24.0,22.0,27.0,18.0,32.0,19.0,26.0,40.0,27.0,32.0,27.0,27.0,33.0,28.0,22.0,31.0,33.0
"(2, 13)",40.0,37.0,29.0,42.0,32.0,24.0,28.0,21.0,26.0,19.0,7.0,9.0,5.0,13.0,9.0,14.0,8.0,8.0,10.0,13.0,8.0,17.0,6.0,16.0,13.0,18.0,13.0,19.0,12.0,18.0,14.0,21.0,20.0,18.0,18.0,15.0,23.0,19.0,17.0,28.0
"(2, 14)",14.0,20.0,27.0,27.0,28.0,28.0,25.0,25.0,30.0,19.0,9.0,9.0,5.0,4.0,8.0,6.0,7.0,7.0,7.0,9.0,6.0,8.0,9.0,6.0,13.0,13.0,5.0,17.0,9.0,8.0,8.0,9.0,10.0,9.0,8.0,10.0,6.0,11.0,18.0,12.0
